iter	Passed	Remaining
0	1	1270
1	2	1238
2	3	1221
3	9	2474
4	13	2642
5	15	2539
6	16	2370
7	18	2242
8	19	2101
9	20	2007
10	21	1914
11	22	1860
12	23	1798
13	24	1752
14	26	1725
15	28	1733
16	29	1697
17	30	1677
18	31	1643
19	32	1613
20	33	1581
21	35	1585
22	36	1556
23	38	1565
24	39	1540
25	40	1523
26	41	1502
27	42	1482
28	43	1460
29	44	1440
30	45	1418
31	46	1400
32	47	1380
33	48	1368
34	49	1359
35	50	1349
36	52	1370
37	53	1360
38	54	1353
39	56	1345
40	57	1335
41	58	1324
42	58	1312
43	59	1299
44	60	1287
45	61	1277
46	62	1267
47	63	1266
48	64	1259
49	65	1248
50	67	1247
51	68	1243
52	69	1236
53	70	1233
54	71	1224
55	72	1217
56	73	1208
57	74	1202
58	74	1194
59	75	1187
60	76	1179
61	77	1174
62	78	1166
63	79	1159
64	80	1151
65	81	1148
66	82	1144
67	83	1140
68	84	1134
69	84	1127
70	85	1121
71	86	1116
72	87	1110
73	88	1104
74	89	1098
75	89	1092
76	90	1086
77	91	1082
78	92	1077
79	93	1072
80	94	1066
81	94	1061
82	95	1051
83	96	1054
84	97	1051
85	98	1046
86	99	1043
87	100	1038
88	101	1035
89	101	1030
90	103	1029
91	103	1025
92	104	1022
93	105	1020
94	106	1016
95	107	1012
96	108	1007
97	109	1003
98	109	999
99	111	1000
100	112	999
101	113	997
102	114	994
103	114	990
104	115	987
105	116	984
106	117	981
107	118	978
108	119	975
109	120	972
110	120	968
111	121	965
112	122	962
113	123	959
114	124	956
115	125	954
116	126	952
117	127	950
118	128	947
119	128	945
120	129	942
121	130	939
122	131	937
123	132	935
124	133	932
125	134	930
126	134	926
127	135	925
128	136	922
129	137	920
130	138	917
131	139	915
132	140	915
133	141	914
134	142	913
135	143	911
136	144	910
137	145	908
138	146	906
139	146	902
140	147	899
141	147	894
142	148	890
143	149	887
144	149	884
145	150	880
146	151	877
147	151	874
148	152	870
149	153	867
150	153	864
151	154	861
152	155	860
153	156	858
154	157	857
155	157	854
156	158	851
157	159	849
158	160	846
159	160	843
160	161	839
161	161	836
162	162	834
163	163	832
164	163	829
165	164	826
166	165	823
167	165	821
168	166	818
169	167	815
170	167	812
171	168	810
172	168	807
173	170	808
174	171	806
175	171	804
176	172	802
177	173	800
178	174	798
179	174	796
180	175	794
181	176	792
182	176	790
183	177	787
184	178	785
185	178	783
186	179	780
187	180	778
188	180	775
189	181	773
190	182	771
191	182	768
192	183	766
193	183	764
194	185	764
195	186	764
196	187	763
197	188	761
198	188	759
199	189	757
200	190	755
201	190	753
202	191	751
203	192	749
204	192	747
205	193	745
206	194	743
207	194	742
208	195	740
209	196	739
210	197	737
211	198	736
212	199	735
213	200	737
214	201	736
215	202	735
216	203	734
217	204	733
218	205	732
219	206	731
220	207	730
221	208	729
222	208	728
223	209	727
224	210	725
225	211	724
226	212	722
227	213	721
228	215	725
229	216	724
230	217	723
231	218	722
232	219	721
233	219	720
234	220	718
235	221	717
236	222	715
237	223	714
238	223	712
239	224	711
240	225	709
241	226	708
242	226	706
243	227	705
244	229	705
245	230	705
246	231	704
247	231	702
248	232	701
249	233	700
250	234	699
251	235	698
252	236	697
253	237	696
254	238	695
255	238	694
256	239	693
257	240	691
258	241	690
259	242	690
260	244	690
261	245	690
262	246	691
263	247	690
264	248	689
265	249	688
266	250	687
267	251	686
268	252	685
269	253	684
270	253	682
271	254	681
272	255	680
273	256	679
274	257	678
275	258	677
276	259	676
277	260	677
278	261	676
279	262	675
280	263	674
281	264	673
282	265	672
283	266	671
284	267	669
285	267	668
286	268	667
287	269	666
288	270	665
289	271	663
290	271	662
291	273	662
292	274	661
293	275	661
294	276	660
295	277	659
296	278	658
297	278	657
298	279	656
299	280	654
300	281	653
301	282	652
302	283	651
303	283	649
304	284	648
305	285	647
306	286	647
307	289	649
308	290	649
309	291	648
310	292	647
311	293	646
312	293	645
313	294	644
314	295	643
315	296	641
316	297	640
317	298	639
318	299	638
319	300	637
320	300	636
321	301	635
322	303	635
323	304	635
324	305	634
325	306	633
326	307	632
327	308	631
328	309	630
329	310	629
330	310	628
331	311	626
332	312	625
333	313	624
334	314	623
335	314	622
336	315	621
337	316	619
338	317	619
339	318	618
340	319	617
341	320	616
342	321	615
343	322	614
344	322	613
345	323	612
346	324	610
347	325	609
348	326	608
349	327	607
350	328	606
351	329	606
352	330	605
353	330	603
354	331	602
355	333	602
356	334	602
357	335	601
358	336	600
359	337	599
360	337	598
361	338	597
362	339	596
363	340	595
364	341	594
365	342	593
366	343	592
367	344	590
368	344	589
369	345	588
370	346	587
371	348	587
372	349	587
373	350	586
374	351	585
375	352	584
376	353	583
377	354	582
378	354	581
379	355	580
380	356	579
381	357	577
382	358	576
383	358	575
384	359	574
385	360	573
386	361	572
387	362	572
388	364	571
389	364	570
390	365	569
391	366	568
392	367	566
393	367	565
394	368	564
395	368	562
396	369	561
397	370	559
398	370	558
399	371	557
400	372	555
401	372	554
402	373	552
403	373	551
404	374	550
405	375	548
406	375	547
407	376	546
408	377	545
409	378	544
410	379	543
411	379	542
412	380	540
413	381	539
414	381	538
415	382	537
416	383	535
417	383	534
418	384	533
419	384	531
420	385	530
421	386	528
422	386	527
423	387	526
424	388	525
425	388	523
426	389	522
427	389	520
428	390	519
429	391	518
430	392	517
431	392	516
432	393	515
433	394	514
434	394	513
435	395	511
436	396	510
437	396	509
438	397	508
439	398	506
440	398	505
441	399	504
442	400	502
443	400	501
444	401	500
445	401	499
446	402	498
447	403	496
448	403	495
449	404	494
450	404	493
451	405	491
452	406	491
453	407	490
454	408	489
455	409	488
456	410	487
457	411	486
458	411	485
459	412	484
460	413	483
461	414	482
462	415	481
463	416	480
464	416	479
465	417	478
466	418	477
467	419	476
468	420	475
469	420	474
470	421	473
471	422	472
472	423	471
473	424	471
474	425	470
475	426	469
476	426	468
477	427	467
478	428	466
479	429	465
480	430	464
481	431	463
482	431	462
483	432	461
484	433	460
485	434	459
486	435	458
487	436	457
488	437	457
489	438	456
490	439	455
491	439	454
492	440	453
493	441	452
494	442	451
495	442	450
496	443	449
497	444	448
498	445	447
499	446	446
500	446	445
501	447	444
502	448	443
503	449	441
504	449	441
505	450	440
506	452	439
507	453	438
508	453	437
509	454	436
510	455	435
511	456	434
512	457	434
513	457	433
514	458	432
515	459	431
516	460	430
517	461	429
518	461	428
519	462	427
520	463	426
521	464	425
522	465	424
523	466	424
524	468	423
525	468	422
526	469	421
527	470	420
528	471	419
529	472	418
530	473	417
531	474	417
532	474	416
533	475	415
534	476	414
535	477	413
536	478	412
537	478	411
538	480	411
539	481	410
540	482	409
541	483	408
542	484	407
543	485	407
544	486	406
545	487	405
546	488	404
547	488	403
548	489	402
549	490	401
550	491	400
551	492	399
